ds,yhat,yhat_lower,yhat_upper
2024-04-08,6294.240961095492,6168.526954829348,6421.121736272627
2024-04-09,6311.018110527558,6190.547092333011,6427.343951847554
2024-04-10,6318.703919644825,6187.124460500916,6441.641764139891
2024-04-11,6316.340696860073,6191.533773663479,6437.6993476723
2024-04-12,6322.724895874969,6189.256775517337,6444.532697471152
2024-04-15,6291.553851412249,6165.386623089696,6405.186611434368
2024-04-16,6308.331000844324,6188.9800943157825,6443.808397513146
2024-04-17,6316.016810309395,6193.753031410077,6430.915663169315
2024-04-18,6313.653587872497,6181.3906437551705,6445.144139958392
2024-04-19,6320.037787235301,6186.268627969484,6439.948050696957
2024-04-22,6288.866743815947,6160.522856026335,6414.390150799918
2024-04-23,6305.643893595911,6187.084494212122,6441.832136228113
2024-04-24,6313.329703060952,6188.9503126941845,6442.176392737041
2024-04-25,6310.966480624033,6190.009770552335,6436.6658960426375
2024-04-26,6317.350679850151,6193.709866397985,6447.643606761285
2024-04-29,6286.179636020768,6166.136789668927,6408.69130438856
2024-04-30,6302.9567856640615,6197.001084057994,6429.762666525321
2024-05-01,6310.64259499247,6190.334290331679,6439.3172022058125
2024-05-02,6308.2793724188405,6189.935176899683,6437.3949891885795
2024-05-03,6314.663571644966,6190.899959747194,6434.742816322206
2024-05-06,6283.492528842346,6158.5846625848535,6408.641250004154
2024-05-07,6300.269678827958,6180.08646234555,6425.57735896533
2024-05-08,6307.955488498589,6182.887742575564,6430.102595728447
2024-05-09,6305.5922662672265,6181.449175801216,6436.262617068458
2024-05-10,6311.976465835562,6186.885393023717,6431.072193669782
2024-05-13,6280.805423033049,6163.571064283966,6411.026771586046
2024-05-14,6297.5825729647095,6171.919596138794,6417.6742367380575
2024-05-15,6305.268382581569,6185.811416800454,6425.7628876143235
2024-05-16,6302.905160296376,6170.289148552403,6424.100937156585
2024-05-17,6309.289359810944,6191.585982234293,6430.816485460336
2024-05-20,6278.118316847021,6160.55614937615,6399.086853015376
2024-05-21,6294.895466778746,6173.16872225067,6417.389984166181
2024-05-22,6302.581276395555,6173.614121107838,6421.629623767967
2024-05-23,6300.218053974473,6172.986012579336,6416.467960146281
2024-05-24,6306.6022533530795,6182.551517416496,6432.153686922968
2024-05-28,6292.208359777264,6170.042115752984,6415.785144149548
2024-05-29,6299.89416925808,6174.007520007045,6422.492396614432
2024-05-30,6297.530946837028,6168.106215770482,6422.664926873793
2024-05-31,6303.915146215615,6188.996144559729,6430.694485033543
2024-06-03,6272.7441107908135,6154.787462769227,6400.397258651964
2024-06-04,6289.521263235686,6166.582609625104,6414.593210909609
2024-06-05,6297.207075365602,6174.575120410103,6417.03078767576
2024-06-06,6294.843855593475,6173.372655846285,6424.490569421147
2024-06-07,6301.22805762113,6178.100572918549,6427.478064673279
2024-06-10,6270.057022196275,6148.357090167202,6386.142766483013
2024-06-11,6286.83417464116,6155.666342158222,6412.630016278428
2024-06-12,6294.524893761867,6174.582135437369,6414.047764234367
2024-06-13,6292.16658098059,6157.8901486545465,6408.443044304716
2024-06-14,6298.555689999068,6178.630769528366,6414.626745988181
2024-06-17,6267.3993755467945,6152.184546566833,6382.84733029183
2024-06-18,6284.181434982461,6163.372787471735,6418.708412153443
2024-06-20,6289.513841321944,6162.283806841999,6415.597594307646
2024-06-21,6299.211963170305,6170.2654959262,6417.176560187366
2024-06-24,6277.982687207864,6158.19848882025,6391.663557325804
2024-06-25,6298.073759473469,6175.100892485797,6420.740864683574
2024-06-26,6309.07349142407,6185.744287871062,6436.051004679578
2024-06-27,6310.024191472738,6179.951380053082,6427.276512678148
2024-06-28,6319.722313321103,6198.803746627442,6440.134481856761
2024-07-01,6310.031475521045,6180.77636009767,6436.610435770868
2024-07-02,6333.96869384079,6207.662789186611,6458.3061492329225
2024-07-03,6348.814571845498,6221.846708904539,6466.333407623546
2024-07-05,6367.1556858508,6240.198631587119,6492.796742550412
2024-07-08,6357.464848050847,6222.747528893762,6480.752136165219
2024-07-09,6381.402066370424,6255.887841235452,6499.580712764723
2024-07-10,6396.247944375271,6271.545705526501,6516.9414394991045
2024-07-11,6401.04479138163,6281.078550584646,6533.732080612566
2024-07-12,6414.589060187691,6290.027525979115,6535.066265945859
2024-07-15,6404.898225098416,6274.726549207277,6533.822596849054
2024-07-16,6428.835444321718,6307.498693162175,6559.301261494729
2024-07-17,6443.68132323014,6321.103088858483,6566.454900491281
2024-07-18,6448.478170236555,6321.892028459142,6574.567944941607
2024-07-19,6462.022439365144,6339.356645131499,6582.830788850133
2024-07-22,6452.331605243632,6327.750223332155,6577.238961585712
2024-07-23,6476.268824789517,6350.678580577907,6595.915214736063
2024-07-24,6491.11470402048,6364.656612168767,6614.867087201854
2024-07-25,6495.911551349476,6362.777200980959,6616.94928184142
2024-07-26,6509.455820478125,6394.204659592992,6634.277348362192
2024-07-29,6499.982502898405,6382.397164349631,6620.985156307205
2024-07-30,6523.992227958267,6404.823247581986,6648.977969610136
2024-07-31,6538.910612703197,6410.937894377589,6661.91003760351
2024-08-01,6543.779965546141,6421.185538321545,6663.002992622011
2024-08-02,6557.396740188762,6437.016820106941,6678.722408665025
2024-08-05,6547.923422609039,6426.321396801844,6671.784791988371
2024-08-06,6571.933147668966,6441.620158885014,6692.962666451809
2024-08-07,6589.194022970551,6472.164574822481,6709.564409618549
2024-08-08,6596.405866370192,6466.7868361101,6718.293815838335
2024-08-09,6612.365131569455,6487.407591237463,6736.827516422547
2024-08-12,6609.919285659833,6494.3478008612165,6736.460077723498
2024-08-13,6636.271501276359,6513.956532331203,6753.567127883938
2024-08-14,6653.532376577977,6530.111683864743,6782.699320913943
2024-08-15,6660.744230890017,6529.317093548886,6785.954506643154
2024-08-16,6676.7035070017355,6559.595002508327,6795.380343295051
2024-08-19,6674.25769382917,6557.501442823484,6801.425244918082
2024-08-20,6700.609920358078,6575.760270208048,6817.484432270076
2024-08-21,6717.870806572034,6596.502303459532,6844.991415725279
2024-08-22,6725.082660884029,6598.371335327513,6845.381089266943
2024-08-23,6741.042026945162,6616.5251542198575,6868.17112999575
2024-08-26,6738.596483620805,6614.610235685385,6863.567895305522
2024-08-27,6764.948800099106,6646.967734620288,6889.968716124596
2024-08-28,6782.209776262463,6650.544339518683,6905.364585818462
2024-08-29,6789.421720523891,6669.134812888639,6929.942359505282
2024-08-30,6805.3810865850055,6679.511595666791,6922.405067851609
2024-09-03,6829.287859738959,6695.280312834886,6948.243040057421
2024-09-04,6847.630210760666,6723.9942669421325,6973.498266456469
2024-09-05,6855.9235298803205,6723.167967617798,6987.677523452759
2024-09-06,6872.9642707997,6742.624653459933,6995.669495384281
2024-09-09,6873.762852050247,6749.775225212933,7000.477590233896
2024-09-10,6901.196543386804,6776.6517380116675,7017.126007755795
2024-09-11,6919.538894408491,6797.959896454372,7044.601885120701
2024-09-12,6927.832266630154,6799.668046939162,7052.931714207421
2024-09-13,6944.873060651555,6813.074829467645,7062.538457220761
2024-09-16,6945.671801208185,6823.461060478063,7060.795740051561
2024-09-17,6973.105545646762,6842.419750668888,7092.286758807731
2024-09-18,6991.447949770406,6875.881560065854,7122.151237828195
2024-09-19,6999.741321992102,6872.925010497511,7123.216743546556
2024-09-20,7016.782116754803,6890.347132077852,7136.793404533885
2024-09-23,7017.580859535396,6897.256315982766,7136.780340624535
2024-09-24,7045.014604715443,6922.1845591816,7166.837540795966
2024-09-25,7063.357009580398,6928.334754748236,7181.424526854319
2024-09-26,7071.650382543398,6938.317791635053,7196.748215339771
